LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,FlagCodes
SVN,HHEXP,TOT,MLN_USD,A,2018,37124.4896820358,
SVN,HHEXP,TOT,MLN_USD,A,2019,40612.0670119171,
SVN,HHEXP,TOT,MLN_USD,A,2020,37171.0059290812,
SVN,HHEXP,TOT,MLN_USD,A,2021,41424.4013489463,
SWE,HHEXP,TOT,MLN_USD,A,2011,191961.806796529,
SWE,HHEXP,TOT,MLN_USD,A,2012,195843.707034588,
SWE,HHEXP,TOT,MLN_USD,A,2013,198665.663739994,
SWE,HHEXP,TOT,MLN_USD,A,2014,204886.689414893,
SWE,HHEXP,TOT,MLN_USD,A,2015,210901.799882469,
SWE,HHEXP,TOT,MLN_USD,A,2016,217134.651488393,
SWE,HHEXP,TOT,MLN_USD,A,2017,222957.918644033,
SWE,HHEXP,TOT,MLN_USD,A,2018,232981.005294391,
SWE,HHEXP,TOT,MLN_USD,A,2019,241172.86070586,
SWE,HHEXP,TOT,MLN_USD,A,2020,233084.841990532,
SWE,HHEXP,TOT,MLN_USD,A,2021,249375.873683119,
